date,open,high,low,close,volume
2023-01-03,3850.50,3900.25,3840.00,3895.75,2500000
2023-01-04,3895.75,3920.50,3880.00,3910.25,2400000
2023-01-05,3910.25,3925.00,3895.00,3920.50,2300000
2023-01-06,3920.50,3945.25,3915.00,3940.00,2600000
2023-01-09,3940.00,3960.75,3930.00,3955.50,2700000
2023-01-10,3955.50,3970.00,3945.00,3965.25,2500000
2023-01-11,3965.25,3980.50,3960.00,3975.75,2400000
2023-01-12,3975.75,3990.00,3965.00,3985.50,2300000
2023-01-13,3985.50,4010.25,3980.00,4005.00,2800000
2023-01-17,4005.00,4025.50,3995.00,4020.75,2600000
2023-01-18,4020.75,4040.00,4010.00,4035.25,2500000
2023-01-19,4035.25,4050.75,4025.00,4045.50,2400000
2023-01-20,4045.50,4060.00,4035.00,4055.75,2300000
2023-01-23,4055.75,4075.25,4050.00,4070.50,2700000
2023-01-24,4070.50,4085.00,4060.00,4080.25,2600000
2023-01-25,4080.25,4095.50,4070.00,4090.75,2500000
2023-01-26,4090.75,4105.00,4080.00,4100.50,2400000
2023-01-27,4100.50,4115.25,4090.00,4110.75,2300000
2023-01-30,4110.75,4125.50,4100.00,4120.25,2800000
2023-01-31,4120.25,4135.00,4110.00,4130.50,2700000
2023-02-01,4130.50,4145.75,4120.00,4140.25,2600000
2023-02-02,4140.25,4155.00,4130.00,4150.75,2500000
2023-02-03,4150.75,4165.25,4140.00,4160.50,2400000
2023-02-06,4160.50,4175.00,4150.00,4170.25,2700000
2023-02-07,4170.25,4185.50,4160.00,4180.75,2600000
2023-02-08,4180.75,4195.00,4170.00,4190.50,2500000
2023-02-09,4190.50,4205.25,4180.00,4200.75,2400000
2023-02-10,4200.75,4215.50,4190.00,4210.25,2300000
2023-02-13,4210.25,4225.00,4200.00,4220.50,2800000
2023-02-14,4220.50,4235.75,4210.00,4230.25,2700000
2023-02-15,4230.25,4245.00,4220.00,4240.75,2600000
2023-02-16,4240.75,4255.25,4230.00,4250.50,2500000
2023-02-17,4250.50,4265.00,4240.00,4260.25,2400000
2023-02-21,4260.25,4275.50,4250.00,4270.75,2700000
2023-02-22,4270.75,4285.00,4260.00,4280.50,2600000
2023-02-23,4280.50,4295.25,4270.00,4290.75,2500000
2023-02-24,4290.75,4305.50,4280.00,4300.25,2400000
2023-02-27,4300.25,4315.00,4290.00,4310.50,2300000
2023-02-28,4310.50,4325.75,4300.00,4320.25,2800000
2023-03-01,4320.25,4335.00,4310.00,4330.75,2700000
2023-03-02,4330.75,4345.25,4320.00,4340.50,2600000
2023-03-03,4340.50,4355.00,4330.00,4350.25,2500000
2023-03-06,4350.25,4365.50,4340.00,4360.75,2400000
2023-03-07,4360.75,4375.00,4350.00,4370.50,2700000
2023-03-08,4370.50,4385.25,4360.00,4380.75,2600000
2023-03-09,4380.75,4395.50,4370.00,4390.25,2500000
2023-03-10,4390.25,4350.00,4320.00,4330.50,3200000
2023-03-13,4330.50,4360.00,4310.00,4345.75,3100000
2023-03-14,4345.75,4375.25,4335.00,4365.50,2900000
2023-03-15,4365.50,4380.00,4350.00,4370.25,2800000
2023-03-16,4370.25,4395.50,4360.00,4385.75,2700000
2023-03-17,4385.75,4410.00,4375.00,4400.50,2600000
2023-03-20,4400.50,4425.25,4390.00,4415.75,2500000
2023-03-21,4415.75,4440.00,4405.00,4430.25,2400000
2023-03-22,4430.25,4455.50,4420.00,4445.75,2300000
2023-03-23,4445.75,4470.00,4435.00,4460.50,2800000
2023-03-24,4460.50,4485.25,4450.00,4475.75,2700000
2023-03-27,4475.75,4500.00,4465.00,4490.25,2600000
2023-03-28,4490.25,4515.50,4480.00,4505.75,2500000
2023-03-29,4505.75,4530.00,4495.00,4520.50,2400000
2023-03-30,4520.50,4545.25,4510.00,4535.75,2300000
2023-03-31,4535.75,4560.00,4525.00,4550.25,2800000

