date,open,high,low,close,volume
2023-01-03,11200.50,11350.75,11150.00,11320.25,1800000
2023-01-04,11320.25,11450.00,11280.00,11410.50,1750000
2023-01-05,11410.50,11520.25,11380.00,11490.75,1700000
2023-01-06,11490.75,11600.50,11460.00,11575.00,1900000
2023-01-09,11575.00,11680.75,11545.00,11650.25,2000000
2023-01-10,11650.25,11730.00,11620.00,11705.50,1850000
2023-01-11,11705.50,11790.25,11675.00,11760.75,1800000
2023-01-12,11760.75,11840.50,11730.00,11815.00,1750000
2023-01-13,11815.00,11920.75,11785.00,11890.25,2100000
2023-01-17,11890.25,11980.00,11860.00,11955.50,1900000
2023-01-18,11955.50,12040.25,11925.00,12015.75,1850000
2023-01-19,12015.75,12100.50,11985.00,12075.00,1800000
2023-01-20,12075.00,12150.75,12045.00,12125.25,1750000
2023-01-23,12125.25,12210.00,12095.00,12185.50,2000000
2023-01-24,12185.50,12260.25,12155.00,12235.75,1900000
2023-01-25,12235.75,12310.50,12205.00,12285.00,1850000
2023-01-26,12285.00,12360.75,12255.00,12335.25,1800000
2023-01-27,12335.25,12410.00,12305.00,12385.50,1750000
2023-01-30,12385.50,12460.25,12355.00,12435.75,2100000
2023-01-31,12435.75,12510.50,12405.00,12485.00,2000000
2023-02-01,12485.00,12560.75,12455.00,12535.25,1900000
2023-02-02,12535.25,12610.00,12505.00,12585.50,1850000
2023-02-03,12585.50,12660.25,12555.00,12635.75,1800000
2023-02-06,12635.75,12710.50,12605.00,12685.00,2000000
2023-02-07,12685.00,12760.75,12655.00,12735.25,1900000
2023-02-08,12735.25,12810.00,12705.00,12785.50,1850000
2023-02-09,12785.50,12860.25,12755.00,12835.75,1800000
2023-02-10,12835.75,12910.50,12805.00,12885.00,1750000
2023-02-13,12885.00,12960.75,12855.00,12935.25,2100000
2023-02-14,12935.25,13010.00,12905.00,12985.50,2000000
2023-02-15,12985.50,13060.25,12955.00,13035.75,1900000
2023-02-16,13035.75,13110.50,13005.00,13085.00,1850000
2023-02-17,13085.00,13160.75,13055.00,13135.25,1800000
2023-02-21,13135.25,13210.00,13105.00,13185.50,2000000
2023-02-22,13185.50,13260.25,13155.00,13235.75,1900000
2023-02-23,13235.75,13310.50,13205.00,13285.00,1850000
2023-02-24,13285.00,13360.75,13255.00,13335.25,1800000
2023-02-27,13335.25,13410.00,13305.00,13385.50,1750000
2023-02-28,13385.50,13460.25,13355.00,13435.75,2100000
2023-03-01,13435.75,13510.50,13405.00,13485.00,2000000
2023-03-02,13485.00,13560.75,13455.00,13535.25,1900000
2023-03-03,13535.25,13610.00,13505.00,13585.50,1850000
2023-03-06,13585.50,13660.25,13555.00,13635.75,1800000
2023-03-07,13635.75,13710.50,13605.00,13685.00,2000000
2023-03-08,13685.00,13760.75,13655.00,13735.25,1900000
2023-03-09,13735.25,13810.00,13705.00,13785.50,1850000
2023-03-10,13785.50,13650.00,13520.00,13575.75,2400000
2023-03-13,13575.75,13680.25,13530.00,13645.00,2300000
2023-03-14,13645.00,13750.50,13615.00,13720.25,2100000
2023-03-15,13720.25,13800.75,13690.00,13775.50,2000000
2023-03-16,13775.50,13870.00,13745.00,13845.75,1900000
2023-03-17,13845.75,13940.25,13815.00,13915.00,1850000
2023-03-20,13915.00,14010.50,13885.00,13985.25,1800000
2023-03-21,13985.25,14080.75,13955.00,14055.50,1750000
2023-03-22,14055.50,14150.00,14025.00,14125.75,2100000
2023-03-23,14125.75,14220.25,14095.00,14195.00,2000000
2023-03-24,14195.00,14290.50,14165.00,14265.25,1900000
2023-03-27,14265.25,14360.75,14235.00,14335.50,1850000
2023-03-28,14335.50,14430.00,14305.00,14405.75,1800000
2023-03-29,14405.75,14500.25,14375.00,14475.00,1750000
2023-03-30,14475.00,14570.50,14445.00,14545.25,2100000
2023-03-31,14545.25,14640.75,14515.00,14615.50,2000000

